Sample ID,#Replicate,N%,C%
Desert Soil,1,0.119674062,1.688866656
Desert Soil,2,0.079582415,0.915372134
Desert Soil,3,0.045661529,0.530927257
Scrubland Soil ,1,0.040968996,0.521461444
Scrubland Soil ,2,0.049218267,0.600023334
Scrubland Soil ,3,0.059079715,0.773813052
Grassland Soil ,1,0.092062593,1.067994016
Grassland Soil ,2,0.121215776,1.345586621
Grassland Soil ,3,0.098419598,1.1460662
Pine-Oak forest Soil,1,0.161753107,4.016046527
Pine-Oak forest Soil,2,0.092882073,2.230953492
Pine-Oak forest Soil,3,0.117123187,2.617429281
Subalpine forest Soil ,1,0.073087855,1.860954369
Subalpine forest Soil ,2,0.083363569,2.843684763
Subalpine forest Soil ,3,0.095995651,2.010244247
Desert Litter,1,0.535464565,23.71522827
Desert Litter,2,0.841909095,29.16507252
Desert Litter,3,0.989718044,24.96322671
Scrubland Litter,1,1.229590444,36.7121977
Scrubland Litter ,2,0.999937297,27.81484814
Scrubland Litter ,3,1.393984968,36.76029674
Grassland Litter,1,2.030954482,38.99624706
Grassland Litter ,2,1.471853048,36.33907778
Grassland Litter,3,1.548043986,35.64181328
Pine-Oak forest Litter,1,0.823554354,47.16982443
Pine-Oak forest Litter,2,0.697293074,47.99536332
Pine-Oak forest Litter,3,0.700326369,45.18634987
Subalpine forest Litter,1,0.716753048,47.61945317
Subalpine forest Litter,2,0.578619005,39.89569715
Subalpine forest Litter ,3,0.751517299,45.73288778
